ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason
300183.SZ,20180713,20180630,略减,-35.0,-25.0,8561.0,9878.0,预计净利润8561-9878万,"1、2018年上半年摊销公司2017年限制性股票激励计划费用约2,300.00万元，导致2018年上半年净利润减少。2、由于电阻、电容等电子元器件涨价，公司2018年上半年原材料采购成本增加，导致毛利率下降，净利润减少。由于以上因素的影响，加之国家电网高速电力线载波通信（HPLC）模组招标尚未开始，导致公司2018年上半年净利润相比去年同期有一定幅度的下降。预计本报告期非经常性损益对净利润的影响金额约为 2,000.00 万元。"
300183.SZ,20180410,20180331,略减,-10.0,0.0,4289.0,4766.0,预计净利润4289-4766万,"1、由于新标准的电力载波通信宽带产品尚处于互联互通现场测试中，新产品招标和应用滞后，行业周期性的原因导致公司2018年第一季度净利润下降。2、本报告期转让参股公司上海安缔诺科技有限公司49%股权，导致2018年第一季度净利润增加1,913.99万元。3、本报告期摊销公司2017年限制性股票激励计划费用1,156.70万元，导致2018年第一季度净利润减少。由于以上因素的影响，公司2018年第一季度净利润相比去年同期有一定幅度的下降。"
300183.SZ,20171014,20170930,略减,-25.0,-15.0,17807.0,20182.0,预计净利润17807-20182万,2017年是我国打造“坚强智能电网”第二轮改造的开始年，国家电网用电信息采集系统将逐步由宽带载波通信技术代替窄带载波通信技术，2017年是新标准的制定和新产品的应用年，由于新标准的载波通信产品还处于互联互通现场调试期，导致了宽带载波产品招标和应用的滞后。截止到目前，国家电网2016年第三批招标和2017年第一批招标的宽带载波通信产品尚未开始供货，由于行业周期性的原因导致公司在2017年前三季度销售收入和净利润有一定幅度的下滑。
300183.SZ,20170708,20170630,续盈,-5.0,5.0,13015.0,14385.0,预计净利润13015-14385万,1、2017年正处于国家“智能电网”改造承上启下的关键阶段，是国网第一轮用电信息采集改造的结束年，也是第二轮引领提升的开始年，存在着招标批次、招标数量不确定的因素，加之2017年又是国网新标准的制定和新产品的应用年，由于新标准的载波通信芯片还处于测试期，还没有形成供货，导致了新产品招标和应用的滞后，由于行业周期性的原因导致公司在2017年上半年净利润有所下滑。2、截止2017年公司连续7年被评为“国家规划布局内重点软件企业”。2016年公司企业所得税全年按15％预缴，年度按10％汇算清缴；2017年上半年公司企业所得税减按10％缴纳，相比上年同期净利润有所增长。由于以上因素的影响，公司2017年上半年净利润相比去年同期基本持平。预计本报告期非经常性损益对净利润的影响金额为500万元到1500万元之间。
300183.SZ,20170408,20170331,略减,-20.0,0.0,4656.0,5820.0,预计净利润4656-5820万,2017年正处于国家“智能电网”改造承上启下的关键阶段，是国网第一轮用电信息采集改造的结束年，也是第二轮引领提升的开始年，存在着招标批次、招标数量不确定的因素，由于行业周期性的原因导致今年用电信息采集产品供货期延后；2017年又是国网新标准的制定和新产品的应用年，国网用电信息采集系统将采用统一通信标准的载波通信宽带低速方式逐步代替第一轮改造大面积采用的窄带载波通信方式，由于新标准尚在不断制定和完善中，导致了新产品招标和应用的滞后。由于以上因素的影响，公司2017年第一季度销售收入、净利润相比去年同期有一定幅度的下降。
300183.SZ,20170105,20161231,略增,20.0,30.0,33119.0,35879.0,预计净利润33119-35879万,
300183.SZ,20161014,20160930,略增,15.0,25.0,22992.0,24992.0,预计净利润22992-24992万,
300183.SZ,20160713,20160630,略增,15.0,25.0,13242.0,14393.0,预计净利润13242-14393万,
300183.SZ,20160409,20160331,略减,-10.0,0.0,5626.0,6252.0,预计净利润5626-6252万,
300183.SZ,20160119,20151231,略增,10.0,20.0,26981.0,29433.0,预计净利润26981-29433万,
300183.SZ,20151014,20150930,略增,5.0,15.0,19333.0,21174.0,预计净利润19333-21174万,
300183.SZ,20150714,20150630,略增,15.0,25.0,11482.0,12480.0,预计净利润11482-12480万,
300183.SZ,20150409,20150331,预增,50.0,60.0,6237.0,6653.0,预计净利润6237-6653万,
300183.SZ,20141014,20140930,略增,10.0,15.0,17973.0,18790.0,预计净利润17973-18790万,
300183.SZ,20140711,20140630,略减,-10.0,0.0,9759.0,10843.0,预计净利润9759-10843万,
300183.SZ,20140410,20140331,略减,-30.0,-20.0,4115.0,4703.0,预计净利润4115-4703万,
300183.SZ,20131014,20130930,略增,5.0,15.0,16165.0,17704.0,预计净利润16165-17704万,
300183.SZ,20130715,20130630,略增,5.0,15.0,10782.0,11809.0,预计净利润10782-11809万,
300183.SZ,20130402,20130331,略增,10.0,20.0,5774.0,6298.0,预计净利润5774-6298万,
300183.SZ,20130131,20121231,略增,25.0,40.0,25511.0,28573.0,预计净利润25511-28573万,
300183.SZ,20120925,20120930,略增,20.0,30.0,14754.32,15983.85,"净利润约1475432万元~1598385万元,增长20%~30%",
300183.SZ,20120706,20120630,略增,30.0,40.0,9835.0,10591.0,"净利润约9,83500万元~10,59100万元,增长30%~40%",
300183.SZ,20120329,20120331,略增,25.0,40.0,4797.0,5373.0,"净利润约4,797万元~5,373万元,增长25%~40%",
300183.SZ,20111206,20111231,预增,90.0,110.0,19688.0,21760.0,"净利润约19688万元~21760万元,增长90%~110%",
300183.SZ,20110929,20110930,预增,120.0,150.0,11616.0,13200.0,"净利润约11,616万元~13,200万元,增长120%~150%",
300183.SZ,20110608,20110630,预增,70.0,,6300.0,,"增长70%以上,盈利6,30000万元以上",
300183.SZ,20110408,20110331,预增,287.59,287.59,3922.74,3922.74,"净利润约3,92274万元,增长28759%",
